,IdEstablecimiento,MS,Inscritos_suma_fonasa
376,110477,IIIa,176.0
377,110485,IIIa,255.0
378,110490,IIIa,71.0
379,110492,IIIa,74.0
380,110495,IIIa,241.0
381,110503,IIIa,220.0
382,110505,IIIa,6.0
383,110510,IIIa,8.0
384,110515,IIIa,1.0
385,110601,IIIa,1.0
386,110725,IIIa,1.0
387,110735,IIIa,12.0
388,110750,IIIa,11.0
389,110752,IIIa,16.0
390,110754,IIIa,7.0
391,110756,IIIa,41.0
392,110758,IIIa,13.0
393,110760,IIIa,371.0
394,110775,IIIa,262.0
395,110778,IIIa,764.0
396,110781,IIIa,491.0
397,110783,IIIa,149.0
398,111300,IIIa,6452.0
399,111301,IIIa,2015.0
400,111302,IIIa,2220.0
401,111303,IIIa,2255.0
402,111304,IIIa,2343.0
403,111305,IIIa,2401.0
404,111306,IIIa,2765.0
405,111307,IIIa,1793.0
406,111308,IIIa,1551.0
407,111309,IIIa,1947.0
408,111310,IIIa,8666.0
409,111351,IIIa,37.0
410,111370,IIIa,5428.0
411,111372,IIIa,2402.0
412,111376,IIIa,4223.0
413,111378,IIIa,2301.0
414,111379,IIIa,3174.0
415,111380,IIIa,3654.0
416,111381,IIIa,10648.0
417,111382,IIIa,4225.0
418,111383,IIIa,2207.0
419,111400,IIIa,2.0
420,111704,IIIa,25.0
421,111780,IIIa,4.0
422,111781,IIIa,6.0
423,111782,IIIa,119.0
424,111783,IIIa,284.0
425,111784,IIIa,162.0
426,112300,IIIa,1.0
427,112301,IIIa,1711.0
428,112302,IIIa,960.0
429,112303,IIIa,914.0
430,112304,IIIa,943.0
431,112306,IIIa,3482.0
432,112307,IIIa,3373.0
433,112309,IIIa,599.0
434,112310,IIIa,3237.0
435,112311,IIIa,2750.0
436,112312,IIIa,3925.0
437,112313,IIIa,4225.0
438,112314,IIIa,3524.0
439,112315,IIIa,2150.0
440,112316,IIIa,3980.0
441,112317,IIIa,802.0
442,112318,IIIa,3189.0
443,112319,IIIa,3235.0
444,112320,IIIa,1541.0
445,112321,IIIa,2592.0
446,112322,IIIa,2751.0
447,112407,IIIa,2.0
448,112707,IIIa,341.0
449,112716,IIIa,25.0
450,112717,IIIa,385.0
451,113181,IIIa,2.0
452,113300,IIIa,5148.0
453,113301,IIIa,1786.0
454,113302,IIIa,4145.0
455,113303,IIIa,3223.0
456,113304,IIIa,113.0
457,113305,IIIa,1813.0
458,113306,IIIa,2532.0
459,113307,IIIa,2305.0
460,113308,IIIa,2692.0
461,113309,IIIa,2672.0
462,113310,IIIa,2643.0
463,113311,IIIa,4316.0
464,113312,IIIa,3957.0
465,113313,IIIa,3574.0
466,113314,IIIa,3099.0
467,113315,IIIa,3755.0
468,113316,IIIa,3692.0
469,113317,IIIa,3258.0
470,113318,IIIa,5198.0
471,113319,IIIa,1518.0
472,113320,IIIa,2061.0
473,113321,IIIa,751.0
474,113322,IIIa,2106.0
475,113323,IIIa,3741.0
476,113324,IIIa,3433.0
477,113326,IIIa,3695.0
478,113328,IIIa,4031.0
479,113329,IIIa,2651.0
480,113330,IIIa,4862.0
481,113331,IIIa,2461.0
482,113332,IIIa,3360.0
483,113333,IIIa,1210.0
484,113334,IIIa,1151.0
485,113390,IIIa,4730.0
486,113394,IIIa,3426.0
487,113396,IIIa,2495.0
488,113402,IIIa,687.0
489,113404,IIIa,404.0
490,113405,IIIa,584.0
491,113406,IIIa,164.0
492,113407,IIIa,349.0
493,113408,IIIa,291.0
494,113409,IIIa,870.0
495,113410,IIIa,133.0
496,113411,IIIa,285.0
497,113412,IIIa,211.0
498,113413,IIIa,18.0
499,113701,IIIa,784.0
500,113702,IIIa,291.0
501,113703,IIIa,548.0
502,113713,IIIa,559.0
503,113716,IIIa,643.0
504,113717,IIIa,466.0
505,113722,IIIa,619.0
506,113728,IIIa,757.0
507,113753,IIIa,186.0
508,113790,IIIa,1111.0
509,114102,IIIa,174.0
510,114301,IIIa,8624.0
511,114302,IIIa,3040.0
512,114303,IIIa,4042.0
513,114304,IIIa,3403.0
514,114305,IIIa,5311.0
515,114306,IIIa,3915.0
516,114307,IIIa,2656.0
517,114308,IIIa,3006.0
518,114309,IIIa,2974.0
519,114310,IIIa,1168.0
520,114311,IIIa,3133.0
521,114312,IIIa,5152.0
522,114313,IIIa,2942.0
523,114314,IIIa,2565.0
524,114315,IIIa,1627.0
525,114316,IIIa,3725.0
526,114317,IIIa,3386.0
527,114318,IIIa,1086.0
528,114319,IIIa,3668.0
529,114320,IIIa,5003.0
530,114321,IIIa,4510.0
531,114322,IIIa,7262.0
532,114323,IIIa,2127.0
533,114324,IIIa,4284.0
534,114325,IIIa,4426.0
535,114326,IIIa,4864.0
536,114327,IIIa,2316.0
537,114328,IIIa,2851.0
538,114329,IIIa,2320.0
539,114330,IIIa,3438.0
540,114331,IIIa,4109.0
