IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria
110335,2024.0,5.0,5.0,8.0,MSI
110335,2024.0,6.0,4.0,2.0,MSI
110335,2024.0,7.0,5.0,2.0,MSI
110335,2024.0,8.0,5.0,5.0,MSI
110335,2024.0,9.0,7.0,3.0,MSI
110335,2024.0,10.0,2.0,1.0,MSI
110335,2024.0,11.0,6.0,3.0,MSI
110340,2024.0,1.0,1.0,0.0,MSI
110340,2024.0,2.0,0.0,2.0,MSI
110340,2024.0,3.0,0.0,1.0,MSI
110340,2024.0,4.0,1.0,,MSI
110340,2024.0,5.0,,3.0,MSI
110340,2024.0,6.0,0.0,0.0,MSI
110340,2024.0,7.0,3.0,1.0,MSI
110340,2024.0,8.0,,1.0,MSI
110340,2024.0,9.0,,2.0,MSI
110340,2024.0,10.0,4.0,2.0,MSI
110345,2024.0,1.0,1.0,1.0,MSI
110345,2024.0,2.0,0.0,1.0,MSI
110345,2024.0,3.0,0.0,1.0,MSI
110345,2024.0,4.0,3.0,1.0,MSI
110345,2024.0,5.0,1.0,3.0,MSI
110345,2024.0,6.0,0.0,3.0,MSI
110345,2024.0,7.0,1.0,6.0,MSI
110345,2024.0,8.0,0.0,0.0,MSI
110345,2024.0,9.0,2.0,0.0,MSI
110345,2024.0,10.0,2.0,4.0,MSI
110345,2024.0,11.0,1.0,3.0,MSI
110350,2024.0,1.0,2.0,6.0,MSI
110350,2024.0,2.0,1.0,3.0,MSI
110350,2024.0,3.0,1.0,0.0,MSI
110350,2024.0,4.0,2.0,2.0,MSI
110350,2024.0,5.0,2.0,4.0,MSI
110350,2024.0,6.0,2.0,5.0,MSI
110350,2024.0,7.0,3.0,2.0,MSI
110350,2024.0,8.0,2.0,4.0,MSI
110350,2024.0,9.0,1.0,4.0,MSI
110350,2024.0,10.0,8.0,5.0,MSI
110350,2024.0,11.0,0.0,3.0,MSI
110351,2024.0,1.0,,8.0,MSI
110351,2024.0,2.0,1.0,2.0,MSI
110351,2024.0,3.0,5.0,4.0,MSI
110351,2024.0,4.0,2.0,0.0,MSI
110351,2024.0,5.0,3.0,3.0,MSI
110351,2024.0,6.0,5.0,5.0,MSI
110351,2024.0,7.0,4.0,5.0,MSI
110351,2024.0,8.0,1.0,2.0,MSI
110351,2024.0,9.0,2.0,1.0,MSI
110351,2024.0,10.0,6.0,1.0,MSI
110351,2024.0,11.0,3.0,0.0,MSI
110352,2024.0,1.0,0.0,4.0,MSI
110352,2024.0,2.0,,1.0,MSI
110352,2024.0,3.0,1.0,3.0,MSI
110352,2024.0,4.0,1.0,3.0,MSI
110352,2024.0,5.0,4.0,2.0,MSI
110352,2024.0,6.0,3.0,8.0,MSI
110352,2024.0,7.0,4.0,4.0,MSI
110352,2024.0,8.0,6.0,4.0,MSI
110352,2024.0,9.0,7.0,0.0,MSI
110352,2024.0,10.0,3.0,7.0,MSI
110352,2024.0,11.0,1.0,2.0,MSI
110353,2024.0,1.0,2.0,1.0,MSI
110353,2024.0,2.0,1.0,3.0,MSI
110353,2024.0,3.0,1.0,1.0,MSI
110353,2024.0,4.0,4.0,2.0,MSI
110353,2024.0,5.0,4.0,2.0,MSI
110353,2024.0,6.0,,0.0,MSI
110353,2024.0,7.0,2.0,1.0,MSI
110353,2024.0,8.0,3.0,0.0,MSI
110353,2024.0,9.0,0.0,1.0,MSI
110353,2024.0,10.0,0.0,1.0,MSI
110353,2024.0,11.0,2.0,1.0,MSI
110354,2024.0,1.0,0.0,2.0,MSI
110354,2024.0,2.0,,0.0,MSI
110354,2024.0,3.0,2.0,2.0,MSI
110354,2024.0,4.0,1.0,2.0,MSI
110354,2024.0,5.0,1.0,1.0,MSI
110354,2024.0,6.0,1.0,3.0,MSI
110354,2024.0,7.0,1.0,2.0,MSI
110354,2024.0,8.0,0.0,2.0,MSI
110354,2024.0,9.0,3.0,0.0,MSI
110354,2024.0,10.0,2.0,1.0,MSI
110354,2024.0,11.0,3.0,1.0,MSI
110355,2024.0,1.0,0.0,4.0,MSI
110355,2024.0,2.0,4.0,2.0,MSI
